operation_id,created_at,amount,bank,card_brand,payment_system,status,latency_sec
op_031,2026-07-29T09:23:00+03:00,45000,sberbank,,quickpay,expired,755
op_032,2026-07-29T08:45:28+03:00,8000,sberbank,,quickpay,approved,48
op_033,2026-07-29T08:43:12+03:00,20000,alfa,,vipay,expired,796
op_034,2026-07-29T09:18:06+03:00,35000,raiffeisen,,quickpay,approved,7
op_035,2026-07-29T08:17:34+03:00,8000,sberbank,,vipay,approved,117
op_036,2026-07-29T09:32:10+03:00,2000,alfa,,payflow,rejected,100
op_037,2026-07-29T08:58:12+03:00,120000,raiffeisen,,quickpay,rejected,48
op_038,2026-07-29T09:00:26+03:00,30000,vtb,,vipay,expired,579
op_039,2026-07-29T09:49:34+03:00,2000,raiffeisen,,payflow,approved,116
op_040,2026-07-29T09:19:18+03:00,1500,sberbank,,quickpay,expired,763
op_041,2026-07-29T09:19:20+03:00,3000,alfa,,quickpay,approved,23
op_042,2026-07-29T09:47:17+03:00,3000,vtb,,quickpay,approved,109
op_043,2026-07-29T10:06:00+03:00,12000,tinkoff,,vipay,approved,96
op_044,2026-07-29T09:25:17+03:00,25000,vtb,,quickpay,approved,20
op_045,2026-07-29T08:56:28+03:00,75000,sberbank,,vipay,approved,5
op_046,2026-07-29T09:36:00+03:00,35000,gazprombank,,vipay,approved,13
op_047,2026-07-29T09:51:10+03:00,120000,vtb,,quickpay,approved,28
op_048,2026-07-29T09:50:27+03:00,30000,sberbank,,payflow,approved,103
op_049,2026-07-29T09:28:48+03:00,3000,sberbank,,vipay,approved,114
op_050,2026-07-29T09:19:13+03:00,2000,raiffeisen,,quickpay,rejected,45
op_051,2026-07-29T10:16:40+03:00,1500,raiffeisen,,vipay,approved,12
op_052,2026-07-29T10:02:24+03:00,3000,sberbank,,vipay,approved,63
op_053,2026-07-29T09:09:20+03:00,48000,raiffeisen,,payflow,expired,664
op_054,2026-07-29T08:52:07+03:00,15000,vtb,,quickpay,approved,25
op_055,2026-07-29T09:21:00+03:00,1500,alfa,,quickpay,approved,73
op_056,2026-07-29T09:08:45+03:00,75000,vtb,,quickpay,approved,21
op_057,2026-07-29T09:53:52+03:00,10000,vtb,,vipay,rejected,28
op_058,2026-07-29T10:17:45+03:00,80000,raiffeisen,,vipay,approved,64
op_059,2026-07-29T09:20:14+03:00,1500,vtb,,payflow,approved,110
op_060,2026-07-29T10:36:21+03:00,3000,raiffeisen,,payflow,expired,454
op_061,2026-07-29T09:08:00+03:00,80000,sberbank,,vipay,approved,52
op_062,2026-07-29T08:42:42+03:00,25000,tinkoff,,quickpay,approved,29
op_063,2026-07-29T08:38:14+03:00,12000,sberbank,,vipay,approved,69
op_064,2026-07-29T09:39:45+03:00,48000,raiffeisen,,quickpay,approved,102
op_065,2026-07-29T11:10:56+03:00,120000,sberbank,,quickpay,expired,424
op_066,2026-07-29T10:20:50+03:00,80000,alfa,,quickpay,expired,353
op_067,2026-07-29T10:31:48+03:00,1500,gazprombank,,vipay,approved,10
op_068,2026-07-29T08:46:54+03:00,55000,vtb,,quickpay,approved,20
op_069,2026-07-29T09:44:16+03:00,95000,alfa,,quickpay,expired,419
op_070,2026-07-29T10:47:54+03:00,120000,alfa,,quickpay,approved,105
op_071,2026-07-29T10:56:10+03:00,20000,alfa,,vipay,approved,62
op_072,2026-07-29T10:19:38+03:00,1500,tinkoff,,payflow,expired,859
op_073,2026-07-29T09:57:36+03:00,15000,gazprombank,,vipay,approved,20
op_074,2026-07-29T10:19:55+03:00,3000,alfa,,payflow,approved,105
op_075,2026-07-29T11:33:22+03:00,48000,alfa,,vipay,approved,98
op_076,2026-07-29T10:42:30+03:00,75000,gazprombank,,quickpay,approved,37
op_077,2026-07-29T11:31:32+03:00,25000,raiffeisen,,vipay,approved,38
op_078,2026-07-29T08:42:21+03:00,120000,tinkoff,,quickpay,rejected,113
op_079,2026-07-29T10:26:54+03:00,75000,tinkoff,,vipay,approved,36
op_080,2026-07-29T10:51:10+03:00,35000,tinkoff,,quickpay,approved,37
op_081,2026-07-29T10:17:20+03:00,35000,vtb,,vipay,approved,44
op_082,2026-07-29T10:47:24+03:00,30000,alfa,,vipay,rejected,16
op_083,2026-07-29T09:27:28+03:00,48000,tinkoff,,vipay,approved,118
op_084,2026-07-29T10:44:37+03:00,80000,tinkoff,,vipay,approved,78
op_085,2026-07-29T11:20:12+03:00,2000,vtb,,vipay,approved,62
op_086,2026-07-29T09:10:50+03:00,45000,vtb,,vipay,approved,93
op_087,2026-07-29T11:03:28+03:00,5000,tinkoff,,vipay,approved,28
op_088,2026-07-29T11:01:15+03:00,75000,alfa,,quickpay,approved,107
op_089,2026-07-29T11:07:44+03:00,8000,alfa,,vipay,rejected,27
op_090,2026-07-29T10:47:37+03:00,20000,raiffeisen,,vipay,approved,66
op_091,2026-07-29T09:12:00+03:00,75000,sberbank,,quickpay,rejected,63
op_092,2026-07-29T10:39:15+03:00,80000,alfa,,vipay,approved,23
op_093,2026-07-29T11:34:40+03:00,20000,alfa,,payflow,approved,87
op_094,2026-07-29T09:23:42+03:00,75000,gazprombank,,vipay,approved,16
op_095,2026-07-29T11:36:12+03:00,5000,gazprombank,,quickpay,approved,43
op_096,2026-07-29T11:59:05+03:00,25000,tinkoff,,quickpay,expired,522
op_097,2026-07-29T10:46:24+03:00,8000,vtb,,quickpay,rejected,111
op_098,2026-07-29T12:41:18+03:00,95000,alfa,,vipay,approved,62
op_099,2026-07-29T09:31:28+03:00,10000,raiffeisen,,vipay,approved,13
op_100,2026-07-29T11:04:48+03:00,2000,gazprombank,,vipay,rejected,42
